country,listed_in,country_share,global_share,gap,Cluster
Bangladesh,International Movies,0.25,0.14772248884398417,0.10227751115601583,0
Belarus,British TV Shows,0.3333333333333333,0.012882040919424097,0.32045129241390924,0
Belarus,Kids' TV,0.3333333333333333,0.025090511071819484,0.30824282226151384,0
Belarus,TV Comedies,0.3333333333333333,0.026521848951755495,0.3068114843815778,0
Belgium,Action & Adventure,0.05333333333333334,0.049760040414246025,0.003573292919087312,0
Belgium,Children & Family Movies,0.03111111111111111,0.035572956133703794,-0.004461845022592684,0
Belgium,Classic Movies,0.0044444444444444444,0.00635682411383346,-0.0019123796693890152,0
Belgium,Comedies,0.08888888888888889,0.08339648059274228,0.005492408296146611,0
Belgium,Crime TV Shows,0.035555555555555556,0.02277511156015829,0.012780443995397267,0
Belgium,Documentaries,0.03111111111111111,0.04698156100025259,-0.015870449889141477,0
Belgium,Docuseries,0.0044444444444444444,0.018354803401532373,-0.013910358957087927,0
Belgium,Dramas,0.19555555555555557,0.1346720552328029,0.060883500322752665,0
Belgium,Horror Movies,0.017777777777777778,0.01928096320619685,-0.0015031854284190717,0
Belgium,Independent Movies,0.07555555555555556,0.043782099856866215,0.03177345569868934,0
Belgium,International Movies,0.2577777777777778,0.14772248884398417,0.1100552889337936,0
Belgium,International TV Shows,0.04888888888888889,0.061673823356066346,-0.012784934467177454,0
Belgium,Kids' TV,0.0044444444444444444,0.025090511071819484,-0.02064606662737504,0
Belgium,LGBTQ Movies,0.008888888888888889,0.004883388060958154,0.004005500827930735,0
Belgium,Music & Musicals,0.008888888888888889,0.018060116190957314,-0.009171227302068425,0
Belgium,Romantic Movies,0.013333333333333334,0.03039488086217058,-0.017061547528837248,0
Belgium,Sci-Fi & Fantasy,0.013333333333333334,0.015997305716931885,-0.002663972383598551,0
Belgium,TV Action & Adventure,0.008888888888888889,0.008588027279616064,0.0003008616092728244,0
Belgium,TV Dramas,0.035555555555555556,0.03586764334427886,-0.0003120877887233045,0
Belgium,TV Mysteries,0.008888888888888889,0.0047570935421402715,0.004131795346748617,0
Belgium,TV Sci-Fi & Fantasy,0.0044444444444444444,0.004251915466868738,0.00019252897757570612,0
Belgium,Thrillers,0.04888888888888889,0.033931127389071315,0.014957761499817576,0
Bermuda,Documentaries,1.0,0.04698156100025259,0.9530184389997474,0
Botswana,Documentaries,1.0,0.04698156100025259,0.9530184389997474,0
Brazil,Action & Adventure,0.021739130434782608,0.049760040414246025,-0.028020909979463417,0
Brazil,Children & Family Movies,0.030434782608695653,0.035572956133703794,-0.0051381735250081405,0
Brazil,Comedies,0.08695652173913043,0.08339648059274228,0.0035600411463881515,0
Brazil,Crime TV Shows,0.02608695652173913,0.02277511156015829,0.0033118449615808405,0
Brazil,Documentaries,0.05217391304347826,0.04698156100025259,0.00519235204322567,0
Brazil,Docuseries,0.02608695652173913,0.018354803401532373,0.007732153120206756,0
Brazil,Dramas,0.11304347826086956,0.1346720552328029,-0.021628576971933336,0
Brazil,Faith & Spirituality,0.017391304347826087,0.0037467373915972047,0.013644566956228883,0
Brazil,Independent Movies,0.05217391304347826,0.043782099856866215,0.008391813186612043,0
Brazil,International Movies,0.18695652173913044,0.14772248884398417,0.039234032895146265,0
Brazil,International TV Shows,0.11304347826086956,0.061673823356066346,0.05136965490480322,0
Brazil,Kids' TV,0.013043478260869565,0.025090511071819484,-0.01204703281094992,0
Brazil,LGBTQ Movies,0.013043478260869565,0.004883388060958154,0.00816009019991141,0
Brazil,Music & Musicals,0.021739130434782608,0.018060116190957314,0.0036790142438252946,0
Brazil,Reality TV,0.021739130434782608,0.011366506693609498,0.01037262374117311,0
Brazil,Romantic Movies,0.008695652173913044,0.03039488086217058,-0.021699228688257535,0
Brazil,Romantic TV Shows,0.008695652173913044,0.016165698408689064,-0.007470046234776021,0
Brazil,Science & Nature TV,0.008695652173913044,0.004546602677443799,0.004149049496469244,0
